UUID, LevelUUID, RoomUUID, Name
34b8a4a7-2ad7-4ad5-bb6c-416a61d28302, 4885b629-c27c-40e3-a0bc-b729bf7bd6cd, 16cc4693-fd6a-4b24-9153-fecd84e33dc2, 10A1
d976af8d-755c-408b-8d16-8ad8e8f0be5c, 4885b629-c27c-40e3-a0bc-b729bf7bd6cd, 6d05b9c1-b577-4cad-96f4-0de6fb1e576a, 10A2
18e84f09-5f0c-467c-8223-1e2197d784a1, 4885b629-c27c-40e3-a0bc-b729bf7bd6cd, a6bb14d4-b1ed-490c-8ec9-903767fd35b2, 10A3
874ef3e8-898c-4b59-8691-f9e0daff96f8, 4885b629-c27c-40e3-a0bc-b729bf7bd6cd, bb957f88-14ae-4b41-8f26-7f8072182d79, 10A4
8b8c182f-cf92-4cd7-ad42-9b66f2f8a515, e9c6d222-325c-4b20-bef0-d4edc98f8ee9, 8f3efdfa-89c3-4663-838f-650e77a0fbef, 11A1
08993d0e-78aa-48e6-bdfb-8df7762a4d08, e9c6d222-325c-4b20-bef0-d4edc98f8ee9, 31c9de45-f3e6-4637-9902-fda448b1e3dd, 11A2
e1855cc3-fc63-422f-aac1-5ec6c62da053, e9c6d222-325c-4b20-bef0-d4edc98f8ee9, fb3db54d-6669-4776-a306-8207a3bc7711, 11A3
12fd2c80-c232-453b-be98-8c1bdb8c2a9e, e9c6d222-325c-4b20-bef0-d4edc98f8ee9, cd0ff809-103c-468c-b202-f32e6db5318e, 11A4
6d8a2dae-d6ba-42d8-9f12-7d4d50757b7c, 4e348690-9d6f-430b-b00c-de3a08c5504a, 64eae800-ffe2-41b3-bc27-bc1a2c8680da, 12A1
ea11f7f1-55ed-48c2-ab85-d5bc33d796f2, 4e348690-9d6f-430b-b00c-de3a08c5504a, 31113827-c517-43d5-b186-e3b7350316ad, 12A2
a12627c1-ffa9-4a43-9fcd-a9d9fc6c39ed, 4e348690-9d6f-430b-b00c-de3a08c5504a, 63cca3f1-00aa-49f2-b382-7967217ccba9, 12A3
faaf021d-5bd9-492c-af2e-a44a5179fd60, 4e348690-9d6f-430b-b00c-de3a08c5504a, 90825fa5-0a28-492f-8473-6992917e7764, 12A4
